water_year,fal_maxT,spr_maxT,sum_maxT,wnt_maxT
1982,3.02197802197802,-3.56521739130435,10.4130434782609,-9.61111111111111
1983,-0.208791208791209,-4.96739130434783,10.5326086956522,-6.41777777777778
1984,1.26373626373626,-3.76086956521739,10.5108695652174,-10.2197802197802
1985,-0.307692307692308,-1.05434782608696,11.554347826087,-9.8
1986,-0.840659340659341,-1.98913043478261,10.7391304347826,-9.23333333333333
1987,1.61208791208791,1.31521739130435,12.9782608695652,-6.63333333333333
1988,4.46153846153846,-0.565217391304348,14.2934782608696,-8.71428571428571
1989,3.18681318681319,0.771739130434783,12.1521739130435,-7.28888888888889
1990,3.73626373626374,-0.108695652173913,13.1413043478261,-7.95555555555556
1991,4,-1.07608695652174,11.9782608695652,-7.83333333333333
1992,2.25274725274725,1.15217391304348,11.6304347826087,-5.36263736263736
1993,3.01098901098901,-0.902173913043478,11.1630434782609,-7.48888888888889
1994,0.186813186813187,1.16304347826087,13.8478260869565,-8.93333333333333
1995,1.87912087912088,-2.04347826086957,11.6521739130435,-6.34444444444444
1996,2.13186813186813,-0.597826086956522,13.3695652173913,-7.3956043956044
1997,2.10989010989011,-0.956521739130435,11.8913043478261,-8.25555555555556
1998,2.25274725274725,-0.989130434782609,11.3152173913043,-8.08888888888889
1999,3.13186813186813,-0.706521739130435,11.8152173913043,-7.03333333333333
2000,5.13186813186813,1.21739130434783,13.7282608695652,-6.47252747252747
2001,2.47252747252747,-0.326086956521739,13.1630434782609,-7.66666666666667
2002,3.92307692307692,0.521739130434783,15.2608695652174,-7.72222222222222
2003,1.9010989010989,0.141304347826087,13.3804347826087,-7.2
2004,2.63736263736264,0.347826086956522,10.6847826086957,-7.6043956043956
2005,2.12087912087912,-0.608695652173913,12.3586956521739,-5.97777777777778
2006,3.8021978021978,0.91304347826087,13.25,-8.32222222222222
2007,0.802197802197802,0.815217391304348,14.0434782608696,-7.42222222222222
2008,4.27472527472527,-2.10869565217391,12.9239130434783,-9.47252747252747
2009,3.84615384615385,-0.326086956521739,11.4239130434783,-7.43333333333333
2010,1.2967032967033,-1.47819288931893,12.4347826086957,-9.7919558046577
2011,2.47923555504808,-1.68478260869565,13.4926965652154,-8.89014623580311
2012,2.40545646825953,3.05434782608696,14.5128921984357,-7.78021978021978
2013,3.70944094054008,-1.91425578745075,13.919534597839,-7.98489121450374
2014,2.79115209088011,-0.993055136392501,11.2555794315653,-8.82141393452048
2015,3.76554826866186,-1.10845393805767,10.5758035155665,-6.02840835738064
2016,2.25420437665305,-2.96521685291212,10.9021739130435,-9.51950371446389
2017,5.81318681318681,-0.217127512353878,13.3478260869565,-7.5320206097109
2018,3.77443790712204,-0.460748474608384,12.4955798434189,-8.01462642230752
